,Rank,Company,CEO,Female,NameNoSpaces,FullName
549,550,Sprouts Farmers Market,Amin Maredia,0,AminMaredia,Amin N. Maredia
550,551,Diebold Nixdorf,Gerrard Schmid,0,GerrardSchmid,Gerrard B. Schmid
551,552,Roper Technologies,Brian Jellison,0,BrianJellison,Brian D. Jellison
552,553,Smart & Final Stores,David Hirz,0,DavidHirz,David G. Hirz
553,554,CommScope Holding,Marvin Edwards ,0,MarvinEdwards,Marvin S. Edwards Jr.
554,555,Tapestry,Victor Luis,0,VictorLuis,Victor Luis
555,556,Diplomat Pharmacy,Brian Griffin,0,BrianGriffin,Brian Griffin
556,557,Chipotle Mexican Grill,Brian Niccol,0,BrianNiccol,Brian R. Niccol
557,558,Agilent Technologies,Michael McMullen,0,MichaelMcMullen,Michael R. McMullen
558,559,Science Applications International,Anthony Moraco,0,AnthonyMoraco,Anthony J. Moraco
559,560,MDU Resources Group,David Goodin,0,DavidGoodin,David L. Goodin
560,561,Select Medical Holdings,David Chernow,0,DavidChernow,David S. Chernow
561,562,Boise Cascade,Thomas Corrick,0,ThomasCorrick,Thomas K. Corrick
562,563,National General Holdings,Barry Karfunkel,0,BarryKarfunkel,Barry Karfunkel
563,564,SCANA,Jimmy Addison,0,JimmyAddison,Jimmy E. Addison
564,565,Graphic Packaging Holding,Michael Doss,0,MichaelDoss,Michael P. Doss
565,566,Fastenal,Daniel Florness,0,DanielFlorness,Daniel L. Florness
566,567,Schneider National,Christopher Lofgren,0,ChristopherLofgren,Christopher B. Lofgren
567,568,Laureate Education,Eilif Serck-Hanssen,0,EilifSerck-Hanssen,Eilif Serck-Hanssen
568,569,Beacon Roofing Supply,Paul Isabella,0,PaulIsabella,Paul M. Isabella
569,570,KB Home,Jeffrey Mezger,0,JeffreyMezger,Jeffrey T. Mezger
570,571,Equinix,Peter Van Camp,0,PeterVanCamp,Peter F. Van Camp
571,572,Terex,John Garrison ,0,JohnGarrison,John L. Garrison Jr.
572,573,Crown Castle International,Jay Brown,0,JayBrown,Jay A. Brown
573,574,CACI International,Kenneth Asbury,0,KennethAsbury,Kenneth Asbury
574,575,Watsco,Albert Nahmad,0,AlbertNahmad,Albert H. Nahmad
575,576,Coca-Cola Bottling,Frank Harrison I,0,FrankHarrisonI,J. Frank Harrison III
576,577,Welltower,Thomas DeRosa,0,ThomasDeRosa,Thomas J. DeRosa
577,578,ADT,Timothy Whall,0,TimothyWhall,Timothy J. Whall
578,579,Ametek,David Zapico,0,DavidZapico,David A. Zapico
579,580,CNO Financial Group,Gary Bhojwani,0,GaryBhojwani,Gary C. Bhojwani
580,581,Camping World Holdings,Marcus Lemonis,0,MarcusLemonis,Marcus A. Lemonis
581,582,LPL Financial Holdings,Dan Arnold,0,DanArnold,Dan H. Arnold
582,583,Noble Energy,David Stover,0,DavidStover,David L. Stover
583,584,Bloomin Brands,Elizabeth Smith,0,ElizabethSmith,Elizabeth A. Smith
584,585,Moodys,Raymond McDaniel ,0,RaymondMcDaniel,Raymond W. McDaniel Jr.
585,586,Symantec,Gregory Clark,0,GregoryClark,Gregory S. Clark
586,587,Amkor Technology,Stephen Kelley,0,StephenKelley,Stephen D. Kelley
587,588,Skechers U.S.A.,Robert Greenberg,0,RobertGreenberg,Robert Greenberg
588,589,KBR,Stuart Bradie,0,StuartBradie,Stuart Bradie
589,590,Tiffany,Alessandro Bogliolo,0,AlessandroBogliolo,Alessandro Bogliolo
590,591,Torchmark,Gary Coleman/Larry Hutchison,0,GaryColeman/LarryHutchison,Gary L. Coleman/Larry M. Hutchison
591,592,Broadridge Financial Solutions,Richard Daly,0,RichardDaly,Richard J. Daly
592,593,Quad/Graphics,Joel Quadracci,0,JoelQuadracci,J. Joel Quadracci
593,594,CF Industries Holdings,Anthony Will,0,AnthonyWill,W. Anthony Will
594,595,Carlisle,Christian Koch,0,ChristianKoch,D. Christian Koch
595,596,Silgan Holdings,Anthony Allott,0,AnthonyAllott,Anthony J. Allott
596,597,Bemis,William Austen,0,WilliamAusten,William F. Austen
597,598,CA,Michael Gregoire,0,MichaelGregoire,Michael P. Gregoire
598,599,Hub Group,David Yeager,0,DavidYeager,David P. Yeager
599,600,Worldpay,Charles Drucker/Philip E.Jansen,0,CharlesDrucker/PhilipE.Jansen,Charles D. Drucker/Philip E.R. Jansen
600,601,Ingles Markets,James Lanning,0,JamesLanning,James W. Lanning
601,602,Snap-on,Nicholas Pinchuk,0,NicholasPinchuk,Nicholas T. Pinchuk
602,603,Dentsply Sirona,Donald Casey ,0,DonaldCasey,Donald M. Casey Jr.
603,604,Calumet Specialty Products,Timothy Go,0,TimothyGo,Timothy Go
604,605,Global Payments,Jeffrey Sloan,0,JeffreySloan,Jeffrey S. Sloan
605,606,Encompass Health,Mark Tarr,0,MarkTarr,Mark J. Tarr
606,607,Martin Marietta Materials,Howard Nye,0,HowardNye,C. Howard Nye
607,608,Nasdaq,Adena Friedman,0,AdenaFriedman,Adena T. Friedman
608,609,Leggett & Platt,Karl Glassman,0,KarlGlassman,Karl G. Glassman
609,610,Universal Forest Products,Matthew Missad,0,MatthewMissad,Matthew J. Missad
610,611,Sally Beauty Holdings,Christian Brickman,0,ChristianBrickman,Christian A. Brickman
611,612,Flowers Foods,Allen Shiver,0,AllenShiver,Allen L. Shiver
612,613,Barnes & Noble,Demos Parneros,0,DemosParneros,Demos Parneros
613,614,American Equity Investment Life,John Matovina,0,JohnMatovina,John M. Matovina
614,615,Vulcan Materials,Thomas Hill,0,ThomasHill,J. Thomas Hill
615,616,Taylor Morrison Home,Sheryl Palmer,0,SherylPalmer,Sheryl D. Palmer
616,617,Westinghouse Air Brake,Raymond Betler,0,RaymondBetler,Raymond T. Betler
617,618,Crestwood Equity Partners,Robert G Phillips,0,RobertGPhillips,Robert G Phillips
618,619,Iron Mountain,William Meaney,0,WilliamMeaney,William L. Meaney
619,620,Lennox International,Todd Bluedorn,0,ToddBluedorn,Todd M. Bluedorn
620,621,General Cable,Massimo Battaini,0,MassimoBattaini,Massimo Battaini
621,622,American Eagle Outfitters,Jay Schottenstein,0,JaySchottenstein,Jay L. Schottenstein
622,623,Church & Dwight,Matthew Farrell,0,MatthewFarrell,Matthew T. Farrell
623,624,Platform Specialty Products,Rakesh Sachdev,0,RakeshSachdev,Rakesh Sachdev
624,625,JELD-WEN Holding,Gary Michel,0,GaryMichel,Gary S. Michel
625,626,OneMain Holdings,Jay Levine,0,JayLevine,Jay N. Levine
626,627,Colfax,Matthew Trerotola,0,MatthewTrerotola,Matthew L. Trerotola
627,628,Zebra Technologies,Anders Gustafsson,0,AndersGustafsson,Anders Gustafsson
